order_id,order_date,ship_date,customer_id,customer_name,segment,region,state,city,category,sub_category,product_name,ship_mode,quantity,unit_price,discount,sales,cost,profit,payment_status,order_status,calculated_sales,sales_mismatch
ORD-2024-10020,2024-07-27,2024-07-31,CUST-3186,Rohan Mehta,Home Office,West,Madhya Pradesh,Indore,Office Supplies,Storage,Prime Storage 121,Second Class,3,3887.94,0.0,9331.06,7529.31,1801.75,Paid,Completed,11663.82,True
ORD-2025-10021,2025-01-21,2025-01-23,CUST-3190,Aditi Sen,Home Office,East,Bihar,Patna,Technology,Copiers,Elite Copiers 233,First Class,5,4373.06,0.25,16398.98,9556.52,6842.46,Paid,Completed,16398.98,False
ORD-2025-10022,2025-01-24,2025-01-30,CUST-3036,Sneha Kapoor,Consumer,West,Madhya Pradesh,Indore,Furniture,Furnishings,Eco Furnishings 897,Second Class,4,697.69,0.0,2790.76,2037.71,753.05,Paid,Completed,2790.76,False
ORD-2025-10023,2025-01-19,2025-01-21,CUST-3588,Mira Das,Consumer,South,Telangana,Hyderabad,Office Supplies,Binders,Max Binders 355,Standard Class,8,1219.34,0.15,8291.51,6685.03,1606.48,Failed,Returned,8291.51,False
ORD-2025-10024,2025-08-29,2025-08-31,CUST-7098,Rahul Verma,Home Office,East,Bihar,Patna,Furniture,Bookcases,Pro Bookcases 394,First Class,4,1958.01,0.2,6265.63,4321.86,1943.77,Paid,Completed,6265.63,False
ORD-2024-10025,2024-03-04,2024-03-01,CUST-1747,Diya Patel,Consumer,North,Punjab,Ludhiana,Office Supplies,Art,Max Art 215,Standard Class,4,4492.94,0.25,13478.82,10937.35,2541.47,Pending,Cancelled,13478.82,False
ORD-2024-10026,2024-10-11,2024-10-19,CUST-1731,Arjun Bose,Corporate,East,Assam,Guwahati,Technology,Accessories,Classic Accessories 478,First Class,2,4315.2,0.15,7335.84,4968.41,2367.43,Paid,Completed,7335.84,False
ORD-2024-10027,2024-11-23,2024-11-23,CUST-4401,Diya Patel,Corporate,North,Uttar Pradesh,Noida,Technology,Phones,Pro Phones 243,Standard Class,4,716.13,0.1,2578.07,1527.55,1050.52,Paid,Returned,2578.07,False
ORD-2025-10028,2025-09-29,2025-10-05,CUST-9875,Arjun Bose,Small Business,South,Karnataka,Bengaluru,Office Supplies,Paper,Basic Paper 613,Second Class,5,1806.51,0.25,6774.41,4710.36,2064.05,Failed,Returned,6774.41,False
ORD-2024-10029,2024-10-11,2024-10-18,CUST-1569,Ananya Rao,Home Office,West,Gujarat,Ahmedabad,Technology,Phones,Prime Phones 698,Second Class,2,1942.22,0.25,2913.33,2122.33,791.0,Refunded,Cancelled,2913.33,False
ORD-2025-10030,2025-08-13,2025-08-13,CUST-5936,Rohan Mehta,Home Office,South,Kerala,Kochi,Technology,Phones,Pro Phones 442,Standard Class,1,256.01,0.15,217.61,119.77,97.84,Paid,Completed,217.61,False
ORD-2024-10031,2024-02-09,2024-02-12,CUST-8759,Ananya Rao,Corporate,West,Goa,Panaji,Office Supplies,Labels,Pro Labels 355,First Class,1,3421.77,0.1,3079.59,2001.89,1077.7,Paid,Completed,3079.59,False
ORD-2025-10032,2025-06-15,2025-06-19,CUST-7867,Karan Malhotra,Small Business,West,Madhya Pradesh,Indore,Office Supplies,Paper,Pro Paper 959,Second Class,9,3092.55,0.0,27832.95,17769.75,10063.2,Failed,Returned,27832.95,False
ORD-2024-10033,2024-11-22,2024-11-26,CUST-6509,Aarav Sharma,Corporate,South,Andhra Pradesh,Vijayawada,Technology,Phones,Basic Phones 242,Second Class,3,4001.25,0.0,9002.81,7529.92,1472.89,Paid,Completed,12003.75,True
ORD-2024-10034,2024-07-22,2024-07-27,CUST-6660,Priya Menon,Home Office,West,Goa,Panaji,Furniture,Tables,Max Tables 836,Same Day,7,492.41,0.25,2585.15,2070.73,514.42,Paid,Completed,2585.15,False
ORD-2025-10035,2025-01-31,2025-02-05,CUST-2392,Priya Menon,Home Office,East,West Bengal,Kolkata,Furniture,Chairs,Elite Chairs 862,Unknown,2,4159.69,0.2,6655.5,4340.21,2607.32,Paid,Completed,6655.5,False
ORD-2024-10036,2024-05-29,2024-05-29,CUST-1611,Sneha Kapoor,Small Business,West,Gujarat,Ahmedabad,Furniture,Bookcases,Prime Bookcases 414,Second Class,8,2507.12,0.05,19054.11,15313.83,3740.28,Pending,Returned,19054.11,False
ORD-2024-10037,2024-10-25,2024-10-28,CUST-8296,Rohan Mehta,Corporate,West,Maharashtra,Mumbai,Furniture,Bookcases,Eco Bookcases 220,Second Class,3,3126.47,0.0,9379.41,6670.85,2708.56,Paid,Returned,9379.41,False
ORD-2025-10038,2025-07-29,2025-07-29,CUST-4646,Diya Patel,Consumer,West,Maharashtra,Mumbai,Technology,Copiers,Pro Copiers 830,Standard Class,4,1327.54,0.2,4248.13,3321.09,927.04,Paid,Completed,4248.13,False
ORD-2024-10039,2024-06-17,2024-06-22,CUST-8235,Aarav Sharma,Corporate,West,Gujarat,Ahmedabad,Technology,Phones,Prime Phones 507,First Class,7,2210.68,0.1,13927.28,10504.87,3422.41,Paid,Completed,13927.28,False
ORD-2024-10040,2024-12-11,2024-12-11,CUST-5830,Mira Das,Small Business,West,Madhya Pradesh,Indore,Technology,Copiers,Classic Copiers 590,First Class,4,1370.92,0.1,4935.31,3374.77,1560.54,Pending,Returned,4935.31,False
ORD-2024-10041,2024-10-10,2024-10-16,CUST-7178,Isha Nair,Home Office,West,Rajasthan,Udaipur,Technology,Copiers,Eco Copiers 865,Standard Class,7,2509.27,0.2,14051.91,11990.37,2061.54,Paid,Completed,14051.91,False
ORD-2024-10042,2024-03-12,2024-03-17,CUST-3829,Aarav Sharma,Small Business,East,Odisha,Bhubaneswar,Furniture,Bookcases,Classic Bookcases 835,Same Day,8,855.81,0.0,6846.48,4239.89,2606.59,Pending,Cancelled,6846.48,False
ORD-2025-10043,2025-10-10,2025-10-15,CUST-6708,Arjun Bose,Corporate,East,Jharkhand,Ranchi,Technology,Phones,Eco Phones 702,Standard Class,8,979.87,0.05,7447.01,4496.22,2950.79,Paid,Completed,7447.01,False
ORD-2024-10044,2024-07-08,2024-07-14,CUST-7119,Priya Menon,Small Business,East,Odisha,Bhubaneswar,Furniture,Furnishings,Smart Furnishings 956,Same Day,3,1010.23,0.0,3030.69,1721.08,1309.61,Paid,Completed,3030.69,False
ORD-2024-10045,2024-06-22,2024-06-25,CUST-3373,Rohan Mehta,Small Business,North,Haryana,Gurugram,Furniture,Chairs,Max Chairs 393,Standard Class,9,3329.77,0.1,26971.14,17376.2,9594.94,Paid,Completed,26971.14,False
ORD-2024-10046,2024-01-18,2024-01-24,CUST-8896,Isha Nair,Home Office,East,Bihar,Patna,Office Supplies,Art,Prime Art 221,Second Class,8,3927.82,0.05,29851.43,17487.48,12363.95,Pending,Returned,29851.43,False
ORD-2024-10047,2024-07-19,2024-07-19,CUST-8517,Ananya Rao,Small Business,South,Kerala,Kochi,Furniture,Bookcases,Elite Bookcases 671,Standard Class,9,2386.79,0.25,16110.83,10680.03,5430.8,Refunded,Returned,16110.83,False
ORD-2024-10048,2024-08-12,2024-08-12,CUST-1987,Rahul Verma,Corporate,South,Tamil Nadu,Chennai,Office Supplies,Storage,Max Storage 432,Standard Class,8,2445.31,0.1,17606.23,12438.96,5167.27,Paid,Completed,17606.23,False
ORD-2025-10049,2025-01-30,2025-02-05,CUST-8183,Neha Gupta,Corporate,West,Maharashtra,Mumbai,Furniture,Chairs,Basic Chairs 837,Second Class,7,4063.66,0.0,28445.62,20938.59,7507.03,Paid,Completed,28445.62,False
ORD-2024-10050,2024-04-06,2024-04-13,CUST-2380,Aarav Sharma,Home Office,North,Uttar Pradesh,Noida,Technology,Copiers,Classic Copiers 295,Second Class,9,792.11,0.05,6772.54,5755.46,1017.08,Paid,Completed,6772.54,False
ORD-2025-10051,2025-05-11,2025-05-19,CUST-8787,Sneha Kapoor,Consumer,East,West Bengal,Kolkata,Technology,Copiers,Pro Copiers 963,Standard Class,1,2382.8,0.15,2025.38,1140.65,884.73,Paid,Completed,2025.38,False
ORD-2024-10052,2024-04-24,2024-04-29,CUST-3557,Ananya Rao ,Corporate,South,Telangana,Hyderabad,Office Supplies,Art,Pro Art 907,Standard Class,6,1528.08,0.0,9168.48,7439.77,1728.71,Paid,Completed,9168.48,False
ORD-2024-10053,2024-10-26,2024-10-28,CUST-2778,Kabir Singh,Small Business,North,Rajasthan,Jaipur,Furniture,Chairs,Pro Chairs 526,First Class,9,1399.63,0.0,12596.67,10603.29,1993.38,Failed,Cancelled,12596.67,False
ORD-2025-10054,2025-03-31,2025-03-31,CUST-7195,Kabir Singh,Home Office,West,Gujarat,Ahmedabad,Office Supplies,Storage,Elite Storage 924,First Class,5,1207.47,0.15,5131.75,2838.68,2293.07,Paid,Completed,5131.75,False
ORD-2025-10055,2025-05-30,2025-06-02,CUST-9039,Arjun Bose,Corporate,South,Tamil Nadu,Chennai,Office Supplies,Labels,Pro Labels 957,Same Day,8,474.37,0.1,3415.46,1993.23,1422.23,Failed,Cancelled,3415.46,False
ORD-2025-10056,2025-07-01,2025-07-03,CUST-9821,Mira Das,Small Business,South,Andhra Pradesh,Vijayawada,Technology,Machines,Classic Machines 310,Same Day,3,1516.24,0.25,3411.54,2803.13,608.41,Paid,Completed,3411.54,False
ORD-2025-10057,2025-01-05,2025-01-06,CUST-8701,Karan Malhotra,Consumer,South,Karnataka,Bengaluru,Office Supplies,Binders,Smart Binders 393,Second Class,3,3155.61,0.0,9466.83,6557.83,2909.0,Refunded,Cancelled,9466.83,False
ORD-2024-10058,2024-02-07,2024-02-15,CUST-9941,Priya Menon,Consumer,West,Goa,Panaji,Furniture,Chairs,Max Chairs 813,Same Day,5,255.87,0.0,1279.35,1091.54,187.81,Paid,Completed,1279.35,False
ORD-2024-10059,2024-09-01,2024-09-07,CUST-3983,Isha Nair,Home Office,North,Rajasthan,Jaipur,Office Supplies,Storage,Basic Storage 872,Unknown,9,1389.48,0.1,11254.79,6578.06,4676.73,Pending,Returned,11254.79,False
ORD-2024-10060,2024-07-20,2024-07-25,CUST-2418,Priya Menon,Corporate,East,Assam,Guwahati,Office Supplies,Labels,Smart Labels 655,Same Day,5,4133.85,0.2,16535.4,12990.21,3545.19,Paid,Cancelled,16535.4,False
ORD-2024-10061,2024-07-13,2024-07-19,CUST-2892,Ananya Rao,Corporate,East,Assam,Guwahati,Office Supplies,Labels,Eco Labels 210,Same Day,3,275.76,0.2,661.82,481.47,180.35,Refunded,Cancelled,661.82,False
ORD-2024-10062,2024-04-16,2024-04-16,CUST-7008,Vikram Iyer,Home Office,East,Bihar,Patna,Furniture,Bookcases,Classic Bookcases 296,Standard Class,1,949.59,0.0,949.59,751.25,198.34,Paid,Completed,949.59,False
ORD-2024-10063,2024-10-30,2024-11-02,CUST-4900,Sneha Kapoor,Home Office,North,Rajasthan,Jaipur,Technology,Phones,Basic Phones 230,Standard Class,9,3042.29,0.2,21904.49,13570.55,8333.94,Paid,Completed,21904.49,False
ORD-2024-10064,2024-01-25,2024-02-01,CUST-5382,Sneha Kapoor,Home Office,North,Haryana,Gurugram,Office Supplies,Binders,Pro Binders 690,Same Day,2,2832.77,0.15,4815.71,3027.75,1917.47,Paid,Completed,4815.71,False
ORD-2024-10065,2024-12-23,2024-12-29,CUST-2749,Aarav Sharma,Corporate,East,Jharkhand,Ranchi,Office Supplies,Paper,Classic Paper 458,First Class,7,447.84,0.0,3134.88,2367.63,767.25,Refunded,Returned,3134.88,False
ORD-2024-10066,2024-04-22,2024-04-27,CUST-2463,Mira Das,Home Office,West,Maharashtra,Mumbai,Office Supplies,Paper,Pro Paper 552,Second Class,1,4280.19,0.05,4066.18,2628.92,1437.26,Paid,Completed,4066.18,False
ORD-2025-10067,2025-08-28,2025-09-01,CUST-1504,Karan Malhotra,Small Business,South,Tamil Nadu,Chennai,Technology,Accessories,Elite Accessories 187,Same Day,7,1057.46,0.05,7032.11,4610.34,2421.77,Paid,Completed,7032.11,False
ORD-2025-10068,2025-02-03,2025-02-07,CUST-8282,Kabir Singh,Consumer,North,Haryana,Gurugram,Office Supplies,Paper,Eco Paper 922,First Class,7,3609.34,0.05,24002.11,18707.57,5294.54,Paid,Completed,24002.11,False
ORD-2024-10069,2024-11-10,2024-11-13,CUST-6054,Isha Nair,Corporate,East,Jharkhand,Ranchi,Office Supplies,Storage,Pro Storage 975,Second Class,9,2211.12,0.0,19900.08,10962.66,8937.42,Failed,Returned,19900.08,False
ORD-2024-10070,2024-04-09,2024-04-14,CUST-5979,Neha Gupta,Small Business,West,Gujarat,Ahmedabad,Technology,Machines,Prime Machines 782,Same Day,7,3417.09,0.1,21527.67,18287.58,3240.09,Refunded,Returned,21527.67,False
ORD-2025-10071,2025-08-22,2025-08-27,CUST-5582,Karan Malhotra,Corporate,South,Andhra Pradesh,Vijayawada,Technology,Phones,Max Phones 661,First Class,2,905.87,0.15,1539.98,1070.2,469.78,Paid,Completed,1539.98,False
ORD-2025-10072,2025-04-16,2025-04-23,CUST-3308,Mira Das,Small Business,West,Goa,Panaji,Technology,Machines,Elite Machines 836,Standard Class,6,2027.32,0.1,10947.53,6447.36,4500.17,Paid,Completed,10947.53,False
ORD-2024-10073,2024-02-11,2024-02-07,CUST-5018,Karan Malhotra,Home Office,South,Tamil Nadu,Chennai,Furniture,Tables,Prime Tables 902,First Class,7,2287.47,0.15,13610.45,10039.05,3571.4,Paid,Completed,13610.45,False
ORD-2025-10074,2025-03-29,2025-04-03,CUST-2342,Sneha Kapoor,Corporate,East,West Bengal,Kolkata,Furniture,Bookcases,Smart Bookcases 167,First Class,5,1425.74,0.0,7128.7,4382.15,2746.55,Paid,Completed,7128.7,False
ORD-2025-10075,2025-02-27,2025-03-01,CUST-6201,Vikram Iyer,Small Business,East,West Bengal,Kolkata,Furniture,Chairs,Max Chairs 244,Standard Class,6,551.64,0.0,3309.84,2671.08,638.76,Paid,Completed,3309.84,False
ORD-2025-10076,2025-08-22,2025-08-27,CUST-5808,Priya Menon,Small Business,East,Odisha,Bhubaneswar,Office Supplies,Labels,Eco Labels 653,First Class,3,3294.82,0.2,7907.57,5391.18,2516.39,Paid,Completed,7907.57,False
ORD-2024-10077,2024-11-03,2024-11-11,CUST-2642,Ananya Rao,Corporate,East,Jharkhand,Ranchi,Office Supplies,Labels,Max Labels 617,Second Class,3,3406.27,0.0,10218.81,7616.97,2601.84,Paid,Completed,10218.81,False
ORD-2025-10078,2025-07-08,2025-07-12,CUST-4385,Rohan Mehta,Home Office,North,Uttar Pradesh,Noida,Furniture,Furnishings,Pro Furnishings 529,Standard Class,1,2582.2,0.15,2194.87,1223.17,971.7,Refunded,Cancelled,2194.87,False
ORD-2025-10079,2025-07-16,2025-07-21,CUST-8043,Sneha Kapoor,Corporate,East,West Bengal,Kolkata,Furniture,Tables,Smart Tables 561,First Class,5,2129.51,0.15,9050.42,6778.85,2271.57,Paid,Completed,9050.42,False
ORD-2025-10080,2025-09-27,2025-10-03,CUST-9978,Diya Patel,Home Office,South,Tamil Nadu,Chennai,Furniture,Chairs,Prime Chairs 838,Same Day,9,4131.52,0.1,33465.31,24781.26,8684.05,Paid,Completed,33465.31,False
ORD-2024-10081,2024-08-10,2024-08-14,CUST-2094,Aarav Sharma,Small Business,North,Delhi,New Delhi,Office Supplies,Storage,Elite Storage 371,Second Class,4,1182.32,0.1,4256.35,2495.33,1761.02,Pending,Returned,4256.35,False
ORD-2025-10082,2025-03-16,2025-03-17,CUST-7907,Karan Malhotra,Home Office,West,Goa,Panaji,Office Supplies,Labels,Eco Labels 662,Same Day,3,1841.91,0.0,5525.73,3093.42,2432.31,Paid,Completed,5525.73,False
ORD-2024-10083,2024-08-03,2024-08-04,CUST-6516,Arjun Bose,Consumer,North,Uttar Pradesh,Noida,Technology,Copiers,Smart Copiers 702,Second Class,6,1001.73,0.0,6010.38,3762.85,2247.53,Failed,Returned,6010.38,False
ORD-2024-10084,2024-10-26,2024-10-29,CUST-4989,Aditi Sen,Home Office,West,Maharashtra,Mumbai,Furniture,Tables,Elite Tables 362,Second Class,9,131.74,0.2,948.53,674.62,273.91,Paid,Completed,948.53,False
ORD-2024-10085,2024-10-01,2024-10-03,CUST-3758,Rohan Mehta,Corporate,South,Tamil Nadu,Chennai,Technology,Phones,Elite Phones 781,Second Class,6,570.28,0.2,2737.34,2085.44,651.9,Paid,Completed,2737.34,False
ORD-2024-10086,2024-07-30,2024-08-05,CUST-6702,Kabir Singh,Corporate,North,Delhi,New Delhi,Office Supplies,Binders,Eco Binders 456,Standard Class,1,608.64,0.0,608.64,343.99,264.65,Paid,Cancelled,608.64,False
ORD-2024-10087,2024-07-01,2024-07-01,CUST-9148,Ananya Rao,Small Business,North,Delhi,New Delhi,Technology,Copiers,Basic Copiers 525,Second Class,3,885.28,0.1,2390.26,1495.94,894.32,Refunded,Cancelled,2390.26,False
ORD-2024-10088,2024-08-02,2024-08-03,CUST-5829,Vikram Iyer,Consumer,East,Assam,Guwahati,Office Supplies,Binders,Eco Binders 258,Standard Class,7,3345.22,0.0,23416.54,15490.89,7925.65,Paid,Completed,23416.54,False
ORD-2024-10089,2024-03-24,2024-03-27,CUST-6059,Rohan Mehta,Small Business,West,Maharashtra,Mumbai,Furniture,Bookcases,Max Bookcases 398,Standard Class,2,3284.75,0.05,6241.02,5345.88,895.14,Paid,Completed,6241.02,False
ORD-2024-10090,2024-09-05,2024-09-05,CUST-7744,Kabir Singh,Consumer,South,Andhra Pradesh,Vijayawada,Furniture,Bookcases,Smart Bookcases 857,Standard Class,7,3761.09,0.2,21062.1,12057.13,9004.97,Pending,Cancelled,21062.1,False
ORD-2025-10091,2025-08-24,2025-08-29,CUST-5909,Aarav Sharma,Small Business,East,Bihar,Patna,Technology,Copiers,Smart Copiers 556,First Class,3,3703.96,0.15,9445.1,5586.28,3858.82,Paid,Completed,9445.1,False
ORD-2025-10092,2025-03-02,2025-03-08,CUST-6409,Sneha Kapoor,Corporate,West,Madhya Pradesh,Indore,Technology,Copiers,Prime Copiers 575,Second Class,9,269.68,0.0,2427.12,1538.35,804.53,Paid,Completed,2427.12,False
ORD-2025-10093,2025-01-23,2025-01-26,CUST-3014,Aarav Sharma,Consumer,West,Madhya Pradesh,Indore,Office Supplies,Paper,Elite Paper 669,Standard Class,9,4458.26,0.1,36111.91,29194.5,6917.41,Paid,Completed,36111.91,False
ORD-2024-10094,2024-01-07,2024-01-13,CUST-6106,Rohan Mehta,Corporate,North,Uttar Pradesh,Noida,Office Supplies,Binders,Eco Binders 780,Standard Class,7,2788.97,0.0,19522.79,12455.78,7067.01,Paid,Completed,19522.79,False
ORD-2024-10095,2024-09-06,2024-09-09,CUST-1926,Diya Patel,Consumer,North,Haryana,Gurugram,Technology,Phones,Elite Phones 723,Second Class,7,3781.53,0.0,26470.71,21367.6,5103.11,Pending,Cancelled,26470.71,False
ORD-2025-10096,2025-09-05,2025-09-10,CUST-2687,Sneha Kapoor,Corporate,West,Goa,Panaji,Furniture,Bookcases,Classic Bookcases 988,Same Day,6,1754.13,0.0,10524.78,8841.05,1683.73,Paid,Completed,10524.78,False
ORD-2024-10097,2024-06-05,2024-06-07,CUST-7283,Rahul Verma,Home Office,East,Odisha,Bhubaneswar,Technology,Copiers,Smart Copiers 547,Second Class,2,2259.24,0.15,3840.71,2516.29,1324.42,Paid,Completed,3840.71,False
ORD-2025-10098,2025-08-08,2025-08-11,CUST-8111,Diya Patel,Small Business,West,Gujarat,Ahmedabad,Office Supplies,Storage,Basic Storage 656,Same Day,5,3602.36,0.2,14409.44,8809.97,5599.47,Pending,Returned,14409.44,False
ORD-2024-10099,2024-01-26,2024-02-01,CUST-5434,Rohan Mehta,Home Office,South,Kerala,Kochi,Technology,Copiers,Elite Copiers 785,Unknown,8,2108.93,0.1,15184.3,11270.74,3913.56,Paid,Completed,15184.3,False
ORD-2025-10100,2025-01-11,2025-01-11,CUST-3865,Aditi Sen,Small Business,West,Rajasthan,Udaipur,Technology,Accessories,Smart Accessories 542,Same Day,3,2165.29,0.0,6495.87,4700.89,1794.98,Paid,Completed,6495.87,False
ORD-2025-10101,2025-09-12,2025-09-18,CUST-6015,Aarav Sharma,Home Office,South,Kerala,Kochi,Office Supplies,Storage,Eco Storage 936,Standard Class,6,1673.8,0.05,9540.66,5561.49,3979.17,Paid,Completed,9540.66,False
ORD-2024-10102,2024-06-22,2024-06-26,CUST-7909,Rohan Mehta,Home Office,East,Bihar,Patna,Furniture,Furnishings,Classic Furnishings 682,First Class,5,4396.52,0.25,16486.95,12054.14,4432.81,Paid,Completed,16486.95,False
ORD-2025-10103,2025-07-12,2025-07-16,CUST-9603,Vikram Iyer,Consumer,South,Karnataka,Bengaluru,Furniture,Chairs,Classic Chairs 604,First Class,4,2865.71,0.0,11462.84,8979.78,2483.06,Refunded,Cancelled,11462.84,False
ORD-2025-10104,2025-05-02,2025-05-10,CUST-6263,Kabir Singh,Corporate,West,Maharashtra,Mumbai,Furniture,Tables,Prime Tables 377,First Class,4,2440.34,0.2,7809.09,6657.75,1151.34,Paid,Completed,7809.09,False
ORD-2025-10105,2025-02-01,2025-02-08,CUST-1576,Ananya Rao,Consumer,South,Karnataka,Bengaluru,Office Supplies,Labels,Prime Labels 807,Same Day,5,2112.54,0.25,8260.46,5619.95,2302.08,Paid,Cancelled,7922.02,True
ORD-2024-10106,2024-06-24,2024-06-29,CUST-6540,Mira Das,Home Office,East,West Bengal,Kolkata,Furniture,Tables,Eco Tables 575,Second Class,2,685.0,0.1,1233.0,1006.9,226.1,Paid,Completed,1233.0,False
ORD-2024-10107,2024-02-20,2024-02-28,CUST-4008,Arjun Bose,Home Office,East,West Bengal,Kolkata,Office Supplies,Paper,Eco Paper 918,Standard Class,2,4004.04,0.0,7207.27,5709.39,1497.88,Paid,Cancelled,8008.08,True
ORD-2024-10108,2024-10-29,2024-11-04,CUST-6604,Rohan Mehta,Home Office,East,West Bengal,Kolkata,Furniture,Furnishings,Prime Furnishings 952,First Class,3,4302.89,0.05,12263.24,8925.57,3337.67,Paid,Completed,12263.24,False
ORD-2024-10109,2024-08-15,2024-08-23,CUST-4337,Aditi Sen,Small Business,East,Odisha,Bhubaneswar,Furniture,Bookcases,Prime Bookcases 631,Same Day,2,537.54,0.25,806.31,498.5,307.81,Paid,Completed,806.31,False
ORD-2025-10110,2025-08-23,2025-08-27,CUST-3740,Sneha Kapoor,Consumer,North,Delhi,New Delhi,Office Supplies,Binders,Classic Binders 660,Second Class,1,2788.62,0.25,2091.47,1317.22,774.25,Paid,Completed,2091.46,False
ORD-2024-10111,2024-10-18,2024-10-24,CUST-7128,Vikram Iyer,Corporate,South,Kerala,Kochi,Office Supplies,Labels,Pro Labels 255,First Class,2,2250.47,0.0,4500.94,2607.73,1893.21,Refunded,Cancelled,4500.94,False
